Sample in Buffer,Sample in Window,TRIGGER,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe0_1[15:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe1_1[3:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe2_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe3_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe4_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe5_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tdata[63:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tuser,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tvalid,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tlast,Interface_(i1:s0)_(firoutmixer_0_M_AXIS)[2:0],T_Channel_(i1:s0)_(firoutmixer_0_M_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0277,0,1,1,0,0,02315cc6ffc2040e,0,1,0,"_","_"
1,1,0,0278,0,1,1,0,0,01ac97ce00252d3a,0,1,0,"Active","Stream Beat"
2,2,0,0279,0,1,1,0,0,011e274d007ac620,0,1,0,"Active","Stream Beat"
3,3,0,027a,0,1,1,0,0,00a52bab009d9fef,0,1,0,"Active","Stream Beat"
4,4,0,027b,0,1,1,0,0,00cf29f3005f3370,0,1,0,"Active","Stream Beat"
5,5,0,027c,0,1,1,0,0,016228c8001f3238,0,1,0,"Active","Stream Beat"
6,6,0,027d,0,1,1,0,0,01c0583f001a29f1,0,1,0,"Active","Stream Beat"
7,7,0,027e,0,1,1,0,0,01a7cb6d0026c7b8,0,1,0,"Active","Stream Beat"
8,8,0,027f,0,1,1,0,0,0174a6a2000cd9c2,0,1,0,"Active","Stream Beat"
9,9,0,0280,0,1,1,0,0,017f5ffeffeaec59,0,1,0,"Active","Stream Beat"
10,10,0,0281,0,1,1,0,0,01b79566ffda2f53,0,1,0,"Active","Stream Beat"
11,11,0,0282,0,1,1,0,0,01abd167fff50839,0,1,0,"Active","Stream Beat"
12,12,0,0283,0,1,1,0,0,01197e8f0011f74a,0,1,0,"Active","Stream Beat"
13,13,0,0284,0,1,1,0,0,005bbb670016433a,0,1,0,"Active","Stream Beat"
