Sample in Buffer,Sample in Window,TRIGGER,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe0_1[15:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe1_1[3:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe2_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe3_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe4_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe5_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tdata[63:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tuser,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tvalid,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tlast,Interface_(i1:s0)_(firoutmixer_0_M_AXIS)[2:0],T_Channel_(i1:s0)_(firoutmixer_0_M_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0415,0,1,1,0,0,00f484bc0012c840,0,1,0,"_","_"
1,1,0,0416,0,1,1,0,0,018ecaa40020b564,0,1,0,"Active","Stream Beat"
2,2,0,0417,0,1,1,0,0,01b0583e002b4487,0,1,0,"Active","Stream Beat"
3,3,0,0418,0,1,1,0,0,015e124100168d28,0,1,0,"Active","Stream Beat"
4,4,0,0419,0,1,1,0,0,00e363a4fffb55c2,0,1,0,"Active","Stream Beat"
5,5,0,041a,0,1,1,0,0,008ff6e3fff794d7,0,1,0,"Active","Stream Beat"
6,6,0,041b,0,1,1,0,0,0093d699ffff454a,0,1,0,"Active","Stream Beat"
7,7,0,041c,0,1,1,0,0,00e8f338fffe9d7b,0,1,0,"Active","Stream Beat"
8,8,0,041d,0,1,1,0,0,013fa961ffebd3ba,0,1,0,"Active","Stream Beat"
9,9,0,041e,0,1,1,0,0,0144242effe253f6,0,1,0,"Active","Stream Beat"
10,10,0,041f,0,1,1,0,0,01102aeffff15ad5,0,1,0,"Active","Stream Beat"
11,11,0,0420,0,1,1,0,0,00c90a840000f58b,0,1,0,"Active","Stream Beat"
12,12,0,0421,0,1,1,0,0,005cfebbfff3d85f,0,1,0,"Active","Stream Beat"
13,13,0,0422,0,1,1,0,0,000a0852ffdbd4e7,0,1,0,"Active","Stream Beat"
14,14,0,0423,0,1,1,0,0,0007aa7dffc93ab9,0,1,0,"Active","Stream Beat"
15,15,0,0424,0,1,1,0,0,00b38a92ffdd64f7,0,1,0,"Active","Stream Beat"
16,16,0,0425,0,1,1,0,0,016fe33b000094b3,0,1,0,"Active","Stream Beat"
17,17,0,0426,0,1,1,0,0,019926b60011a237,0,1,0,"Active","Stream Beat"
18,18,0,0427,0,1,1,0,0,017169a60012c6a6,0,1,0,"Active","Stream Beat"
19,19,0,0428,0,1,1,0,0,0176660b000f33ab,0,1,0,"Active","Stream Beat"
20,20,0,0429,0,1,1,0,0,018a2590fff9de72,0,1,0,"Active","Stream Beat"
21,21,0,042a,0,1,1,0,0,01245b83ffd12471,0,1,0,"Active","Stream Beat"
22,22,0,042b,0,1,1,0,0,0043c0dfffc279f4,0,1,0,"Active","Stream Beat"
23,23,0,042c,0,1,1,0,0,ffaf4722ffe5a4c7,0,1,0,"Active","Stream Beat"
24,24,0,042d,0,1,1,0,0,ffe870530007ea76,0,1,0,"Active","Stream Beat"
25,25,0,042e,0,1,1,0,0,0061f5d600013881,0,1,0,"Active","Stream Beat"
26,26,0,042f,0,1,1,0,0,00d55859ffdb41e2,0,1,0,"Active","Stream Beat"
27,27,0,0430,0,1,1,0,0,00d5e34bffc768c7,0,1,0,"Active","Stream Beat"
28,28,0,0431,0,1,1,0,0,00c154beffdaa0b1,0,1,0,"Active","Stream Beat"
29,29,0,0432,0,1,1,0,0,01097d25ffff3e11,0,1,0,"Active","Stream Beat"
30,30,0,0433,0,1,1,0,0,01938df8001ec4b7,0,1,0,"Active","Stream Beat"
31,31,0,0434,0,1,1,0,0,01c3717a002cb022,0,1,0,"Active","Stream Beat"
32,32,0,0435,0,1,1,0,0,01583d0d002e9243,0,1,0,"Active","Stream Beat"
33,33,0,0436,0,1,1,0,0,008551e5000fb24e,0,1,0,"Active","Stream Beat"
34,34,0,0437,0,1,1,0,0,00396d15ffd34ffd,0,1,0,"Active","Stream Beat"
35,35,0,0438,0,1,1,0,0,009f1d4affa7128e,0,1,0,"Active","Stream Beat"
36,36,0,0439,0,1,1,0,0,00d72ee1ffb969c5,0,1,0,"Active","Stream Beat"
37,37,0,043a,0,1,1,0,0,0067e08efff4c33a,0,1,0,"Active","Stream Beat"
38,38,0,043b,0,1,1,0,0,00150ae90015bfb9,0,1,0,"Active","Stream Beat"
39,39,0,043c,0,1,1,0,0,005d34250021370e,0,1,0,"Active","Stream Beat"
40,40,0,043d,0,1,1,0,0,014ea5b40025a38f,0,1,0,"Active","Stream Beat"
41,41,0,043e,0,1,1,0,0,020c359600335a66,0,1,0,"Active","Stream Beat"
